"Carimbo de data/hora","Seguir rigorosamente a dose padrão recomendada na bula (ex: Adultos: 50mg a cada 8h) é a melhor forma de garantir que nenhum paciente sofra intoxicação medicamentosa.  ","A investigação de riscos genéticos e reações a drogas é uma responsabilidade da equipe médica e farmacêutica, cabendo à enfermagem apenas administrar a medicação prescrita. ","Apenas o teste de DNA laboratorial serve para identificar riscos farmacogenéticos. Perguntas sobre o histórico familiar do paciente ajudam pouco nesse sentido.  ","Quando um paciente tem uma reação muito forte a um medicamento logo na primeira dose, quase sempre é porque ele tem alergia àquela substância.  ","Reações adversas graves a medicamentos (como uma intoxicação severa) são quase sempre eventos imprevisíveis e inevitáveis, uma questão de ""azar"" do paciente.  ","A farmacogenética estuda principalmente:","Qual o principal argumento para convencer um colega de que a Farmacogenética é essencial para a Enfermagem?  ","No caso discutido sobre a Codeína: Se um paciente for um ""Metabolizador Ultrarrápido"" (enzima CYP2D6 muito ativa), o que acontece se ele tomar a dose padrão deste medicamento?  ","Sobre o caso da criança com Leucemia (LLA) que precisa tomar 6-mercaptopurina: O texto menciona que pacientes com deficiência na enzima TPMT correm risco de ""mielossupressão"" (falência da médula). Qual a conduta de segurança correta para esses casos?  "
"2026/05/20 3:31:12 PM GMT-3","1","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 3:41:44 PM GMT-3","5","1","1","5","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Manter a dose padrão, pois a bula é a lei."
"2026/05/20 4:10:19 PM GMT-3","4","2","1","4","3","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 5:16:17 PM GMT-3","5","1","1","1","2","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 6:06:34 PM GMT-3","2","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 9:27:01 PM GMT-3","2","2","2","2","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 10:28:02 PM GMT-3","1","1","1","5","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/20 11:24:16 PM GMT-3","4","4","4","1","2","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 9:40:31 AM GMT-3","5","5","5","4","5","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 9:41:09 AM GMT-3","3","2","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 11:10:49 AM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 11:16:38 AM GMT-3","4","2","2","4","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 12:00:52 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 1:18:44 PM GMT-3","2","5","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/21 5:34:42 PM GMT-3","2","1","2","5","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 3:14:04 AM GMT-3","1","1","1","2","2","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:13:52 AM GMT-3","4","1","1","4","5","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 1:30:50 PM GMT-3","4","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 3:54:06 PM GMT-3","1","2","1","2","2","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 4:50:23 PM GMT-3","4","1","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 5:13:05 PM GMT-3","2","5","1","2","4","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:33:26 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:35:23 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:37:33 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:39:09 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:39:42 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 8:50:56 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
"2026/05/22 11:40:32 PM GMT-3","1","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Aumentar a dose para compensar a falta da enzima."
"2026/05/23 11:59:35 AM GMT-3","1","1","1","2","2","Como as variações genéticas influenciam a resposta aos medicamentos","É uma barreira final de segurança do paciente, prevenindo erros graves e reações letais antes que elas aconteçam.","O corpo transformará a Codeína em Morfina muito rapidamente, criando risco altíssimo de overdose e toxicidade.","Reduzir drasticamente a dose (para uma pequena porcentagem da original) para evitar a toxicidade fatal."
